2026-07-12 20:58:42,random,4283941102685323172,32,65
2026-07-12 21:08:02,random,2379985370565425727,30,85
2026-07-12 21:14:50,random,3892198559336267144,30,78
2026-07-12 21:21:37,random,6842656671200187290,35,151
2026-07-12 21:28:08,random,8562394838565158726,33,155
2026-07-12 23:06:53,random,11145243375176603616,10,30,0,64
2026-07-15 10:04:59,random,1781735210233100968,10,33,0,76
2026-07-16 10:01:39,random,6230910915966880616,10,32,3,91
2026-07-16 11:09:08,random,7679744539790853431,10,35,0,87
2026-07-17 13:45:14,random,2610345620863396639,10,31,0,68
2026-07-17 15:23:13,random,8650080640528267507,10,32,4,83
2026-07-17 16:10:32,random,16016028631705523977,10,32,0,90
2026-07-17 16:31:54,random,11972335232127767617,10,30,0,65
2026-07-18 00:13:52,random,1498737329284979548,10,32,4,82
2026-07-18 00:47:11,random,17169982283201245631,10,33,17,142
2026-07-18 00:53:03,random,11329268768661591520,10,29,0,57
2026-07-18 00:57:47,random,926215848451410406,10,34,0,72
2026-07-18 01:21:30,random,638141914743760338,10,34,0,76
2026-07-18 15:41:33,random,17687940366240140686,10,33,0,97
